Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 21.845876, 9.237712, 19.616235, 1.961103, -1.061082, -5.767781, 1.344401, 
20, 21.854317, 9.275535, 19.654989, 1.937688, -1.170743, -5.483070, 1.357923, 
20, 21.862156, 9.312967, 19.693233, 1.912198, -1.274502, -5.187937, 1.370725, 
20, 21.869422, 9.349956, 19.730928, 1.884752, -1.372307, -4.890250, 1.382850, 
20, 21.876145, 9.386451, 19.768037, 1.855468, -1.464219, -4.595599, 1.394335, 
20, 21.882354, 9.422408, 19.804527, 1.824460, -1.550382, -4.308121, 1.405216, 
20, 21.888077, 9.457785, 19.840363, 1.791840, -1.630996, -4.030725, 1.415526, 
20, 21.893343, 9.492542, 19.875518, 1.757714, -1.706298, -3.765073, 1.425297, 
20, 21.898178, 9.526645, 19.909961, 1.722183, -1.776551, -3.512692, 1.434559, 
20, 21.902609, 9.560059, 19.943668, 1.685343, -1.842029, -3.273899, 1.443338, 
20, 21.906660, 9.592755, 19.976614, 1.647282, -1.903006, -3.048851, 1.451660, 
20, 21.910356, 9.624704, 20.008776, 1.608087, -1.959761, -2.837749, 1.459549, 
20, 21.913720, 9.655880, 20.040132, 1.567836, -2.012557, -2.639789, 1.467026, 
20, 21.916774, 9.686258, 20.070664, 1.526603, -2.061653, -2.454809, 1.474112, 
20, 21.919541, 9.715818, 20.100353, 1.484457, -2.107295, -2.282103, 1.480826, 
20, 21.922039, 9.744539, 20.129183, 1.441463, -2.149715, -2.120990, 1.487186, 
20, 21.924290, 9.772402, 20.157136, 1.397680, -2.189130, -1.970750, 1.493209, 
20, 21.926310, 9.799390, 20.184200, 1.353165, -2.225747, -1.830832, 1.498908, 
20, 21.928119, 9.825487, 20.210359, 1.307970, -2.259754, -1.700379, 1.504299, 
20, 21.929731, 9.850678, 20.235602, 1.262143, -2.291330, -1.578798, 1.509395, 
20, 21.931165, 9.874950, 20.259916, 1.215731, -2.320641, -1.465509, 1.514208, 
20, 21.932434, 9.898291, 20.283292, 1.168774, -2.347833, -1.359635, 1.518749, 
20, 21.933552, 9.920690, 20.305718, 1.121313, -2.373052, -1.260938, 1.523029, 
20, 21.934534, 9.942135, 20.327186, 1.073384, -2.396425, -1.168637, 1.527057, 
20, 21.935392, 9.962617, 20.347686, 1.025023, -2.418069, -1.082212, 1.530843, 
20, 21.936137, 9.982128, 20.367212, 0.976261, -2.438096, -1.001373, 1.534395, 
20, 21.936781, 10.000660, 20.385754, 0.927129, -2.456603, -0.925306, 1.537720, 
20, 21.937334, 10.018204, 20.403307, 0.877655, -2.473683, -0.854029, 1.540826, 
20, 21.937806, 10.034755, 20.419865, 0.827867, -2.489419, -0.786793, 1.543719, 
20, 21.938206, 10.050305, 20.435420, 0.777789, -2.503888, -0.723443, 1.546406, 
20, 21.938543, 10.064866, 20.449985, 0.728209, -2.479004, 1.244205, 1.548894, 
20, 21.938826, 10.078463, 20.463585, 0.680015, -2.409730, 3.463675, 1.551194, 
20, 21.939060, 10.091127, 20.476252, 0.633332, -2.334153, 3.778856, 1.553316, 
20, 21.939255, 10.102890, 20.488015, 0.588187, -2.257233, 3.846010, 1.555269, 
20, 21.939414, 10.113781, 20.498907, 0.544605, -2.179102, 3.906530, 1.557064, 
20, 21.939544, 10.123832, 20.508960, 0.502607, -2.099876, 3.961338, 1.558708, 
20, 21.939648, 10.133076, 20.518204, 0.462214, -2.019664, 4.010573, 1.560209, 
20, 21.939732, 10.141544, 20.526673, 0.423443, -1.938567, 4.054837, 1.561576, 
20, 21.939799, 10.149270, 20.534399, 0.386309, -1.856671, 4.094811, 1.562816, 
20, 21.939851, 10.156286, 20.541415, 0.350828, -1.774064, 4.130368, 1.563937, 
20, 21.939891, 10.162626, 20.547756, 0.317012, -1.690817, 4.162366, 1.564944, 
20, 21.939922, 10.168324, 20.553453, 0.284872, -1.607002, 4.190735, 1.565846, 
20, 21.939945, 10.173412, 20.558541, 0.254418, -1.522682, 4.215969, 1.566649, 
20, 21.939962, 10.177925, 20.563055, 0.225660, -1.437917, 4.238291, 1.567358, 
20, 21.939975, 10.181897, 20.567027, 0.198604, -1.352759, 4.257883, 1.567981, 
20, 21.939983, 10.185362, 20.570492, 0.173259, -1.267259, 4.275016, 1.568522, 
